Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
1,1,1,¥´¥ë¥³¥ó¥À,²´2,54.0,¥ë¥á¡¼¥ë,1:48.3,,1.4,1.0,518(-16),[Åì] ÌÚÂ¼Å¯Ìé
2,3,3,¥×¥ó¥È¥Õ¥¡¥¤¥ä¡¼,²´2,54.0,´äÅÄ¹¯À¿,1:50.1,Âç,3.5,2.0,496(-8),[Åì] ¼êÄÍµ®µ×
3,4,4,¥é¥°¥ê¥Þ¥¹¥Í¥°¥é¥¹,²´2,51.0,ÃÄÌîÂçÀ®,1:50.9,5,46.6,6.0,546(+6),[Åì] Æ£ÂôÏÂÍº
4,8,9,¥­¥¿¥Î¥³¥É¥¦,²´2,51.0,¿û¸¶ÌÀÎÉ,1:51.5,3.1/2,56.8,7.0,458(-8),[Åì] ¹âÌÚÅÐ
5,5,5,¥Í¥â¥Õ¥£¥é¥Ö¥ë¡¼,²´2,54.0,ÀîÅç¿®Æó,1:51.7,1.1/2,140.3,9.0,436(0),[À¾] ÌðºîË§¿Í
6,8,8,¥Þ¥¤¥Í¥ë¥é¥¯¥¹¥Þ¥ó,²´2,54.0,Ã°ÆâÍ´¼¡,1:52.1,2.1/2,9.7,3.0,480(+8),[Åì] ¶âÀ®µ®»Ë
7,2,2,¥µ¥ó¥â¥ó¥Æ¥Ù¥í,ÌÆ2,54.0,Âã¹°¿Í,1:52.5,2.1/2,114.7,8.0,450(+2),[Åì] ÃæÌî±É¼£
8,7,7,¥¨¥¹¥«¥ì¡¼¥·¥ç¥ó,ÌÆ2,54.0,Æ£²¬Í¤²ð,1:52.5,¥¢¥¿¥Þ,26.1,5.0,448(-4),[Åì] ¹âÌø¿ð¼ù
9,6,6,¥»¥¤¥¦¥ó¥¸¥å¥ê¥¢,ÌÆ2,54.0,ÃÓÅº¸¬°ì,1:52.6,¥¯¥Ó,16.4,4.0,470(0),[À¾] Àõ¸«½¨°ì
1,7,7,¥¤¥¨¥¹¥µ¥ó¥­¥å¡¼,ÌÆ3,54.0,²ÃÆ£¾ÍÂÀ,0:59.2,,4.3,4.0,492(+2),[À¾] ±©·îÍ§É§
2,1,1,¥æ¥­¥¨¥Á¥ã¥ó,ÌÆ3,53.0,²£»³Éð»Ë,0:59.4,1.1/4,19.8,6.0,474(+4),[À¾] ¿Ü³­¾°²ð
3,6,6,¥­¥ç¥¦¥¨¥¤¥á¥µ¥¤¥¢,ÌÆ3,54.0,¾¾²¬Àµ³¤,0:59.5,3/4,13.9,5.0,456(0),[Åì] °ËÆ£¿­°ì
4,8,8,¥µ¥¦¥ó¥É¥·¥å¥ê¥Ã¥È,ÌÆ3,54.0,¾¾ÅÄÂçºî,0:59.8,2,27.2,8.0,452(+6),[À¾] ¹â¶¶¹¯Ç·
5,4,4,¥í¡¼¥Þ¥Î¥­¥å¥¦¥¸¥Ä,ÌÆ3,51.0,ÃÄÌîÂçÀ®,1:00.0,1,4.1,2.0,490(-2),[À¾] ËÒ±º½¼ÆÁ
6,3,3,¥×¥ê¥â¥Ñ¥ó¥µ¡¼,ÌÆ3,51.0,¿û¸¶ÌÀÎÉ,1:00.0,¥¢¥¿¥Þ,27.0,7.0,446(-8),[Åì] °ËÆ£·½»°
7,2,2,¥í¡¼¥Ö¥É¡¼¥ë,ÌÆ3,54.0,¥ë¥á¡¼¥ë,1:00.2,1.1/4,2.9,1.0,426(-6),[Åì] ÏÂÅÄÍºÆó
8,5,5,¥«¡¼¥ô¥£¡¼,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,1:00.3,1/2,4.2,3.0,432(0),[À¾] ËÒ±º½¼ÆÁ
1,2,2,¥ê¥ô¥£¥¨¥é,²´3,56.0,¼Æ»³Íº°ì,2:34.6,,4.5,3.0,494(-6),[À¾] ÅÏÊÕ·°É§
2,6,6,¥ª¥¦¥±¥ó¥é¥ó¥Ü¡¼,²´3,56.0,´äÅÄ¹¯À¿,2:34.7,1/2,3.6,1.0,518(+3),[Åì] ÏÂÅÄÍ¦²ð
3,8,11,¥¨¥¤¥·¥ó¥Õ¥©¡¼¥é¥ó,²´3,56.0,É©ÅÄÍµÆó,2:35.0,2,14.0,7.0,484(+2),[À¾] ¾åÂ¼ÍÎ¹Ô
4,8,10,¥í¥º,ÌÆ3,54.0,²®Ìî¶Ë,2:35.3,2,59.1,11.0,432(-4),[À¾] ¹âÌøÂçÊå
5,5,5,¥¹¥­¥ó¥º¥Þ¥Ã¥Á,²´3,56.0,¹ñÊ¬¶³²ð,2:35.7,2.1/2,6.4,4.0,432(-2),[À¾] Âçº¬ÅÄÍµ
6,4,4,¥·¥Ê¥ê¥ª¥é¥¤¥ó,²´3,56.0,Ã°ÆâÍ´¼¡,2:36.0,1.3/4,57.6,10.0,500(-2),[Åì] ´ä¸Í¹§¼ù
7,6,7,¥È¥é¥¤¥ó¥³¥ó¥Ñ¥¹,²´3,55.0,²£»³Éð»Ë,2:36.7,4,9.2,5.0,424(-4),[Åì] ¾®³ÞÎÑ¹°
8,1,1,¥é¥É¥ß¥å¡¼¥¸¥·¥ã¥ó,²´3,53.0,ÃÄÌîÂçÀ®,2:37.4,4,21.8,8.0,474(-20),[À¾] ÃÓÅº·óÍº
9,3,3,¥µ¥ó¥°¥ê¡¼¥ó¥Ù¥¤,²´3,56.0,²£»³ÏÂÀ¸,2:37.4,¥¯¥Ó,11.5,6.0,486(0),[Åì] Æ£¸¶Ã¤Íº
10,7,9,¥¢¥ª¥¤¥Ï¥ä¥Ö¥µ,ÌÆ3,54.0,Æ£²¬¹¯ÂÀ,2:41.4,Âç,53.3,9.0,446(-14),[À¾] ÌîÃæ¸­Æó
11,7,8,¥Ç¥ë¥Þ¥·¥ã¥ó¥Æ¥£,²´3,56.0,¥ë¥á¡¼¥ë,2:43.5,Âç,4.1,2.0,516(-4),[À¾] ËÒÅÄÏÂÌï
1,6,10,¥×¥é¥¤¥à¥·¥¹¥¿¡¼,ÌÆ3,54.0,´äÅÄ¹¯À¿,2:02.2,,9.5,3.0,492(-2),[À¾] À¾Â¼¿¿¹¬
2,4,6,¥ì¥ó¥¸¥ã¡¼¥¬¡¼¥ë,ÌÆ3,54.0,¹ñÊ¬¶³²ð,2:02.2,¥¯¥Ó,5.7,2.0,446(-2),[À¾] ²ÏÆâÍÎ
3,5,8,¥¼¥Ã¥È¥ì¥ª,²´3,56.0,ÃÓÅº¸¬°ì,2:02.3,¥¯¥Ó,9.8,4.0,432(0),[À¾] ÃÓÅº·óÍº
4,5,7,¥Ð¥¤¥­¥ó¥°¥¯¥é¥Ã¥×,²´3,56.0,¥ë¥á¡¼¥ë,2:02.4,3/4,1.6,1.0,502(-6),[Åì] ËÙÀë¹Ô
5,3,3,¥ô¥£¥ª¥é¥Ô¥å¡¼¥í,ÌÆ3,54.0,µÈÅÄÈ»¿Í,2:02.7,1.3/4,27.3,7.0,468(+18),[À¾] ¿ù»³À²µª
6,8,14,¥³¥¦¥½¥¯¥é¥Ã¥·¥å,¥»3,56.0,¼Æ»³Íº°ì,2:02.9,1.1/4,252.4,14.0,438(-22),[Åì] Ãæ´Ü±ÑÆó
7,7,12,¥¢¥Ê¥¶¡¼¥É¥ê¡¼¥à,²´3,56.0,É©ÅÄÍµÆó,2:03.1,1,14.1,6.0,456(-6),[À¾] µÜÅ°
8,7,11,¥Î¥¢¥­¥»¥­,ÌÆ3,53.0,²£»³Éð»Ë,2:03.3,1.1/4,10.0,5.0,458(-2),[Åì] Âç¹¾¸¶Å¯
9,2,2,¥Ï¥ë¥Î¥Ê¥´¥ê,ÌÆ3,54.0,ÀÐÀîÍµµª,2:03.4,3/4,87.4,9.0,424(-4),[À¾] ¹â¶¶µÁÃé
10,1,1,¥Ç¥ë¥Þ¥È¥ê¥¢¥Î¥ó,ÌÆ3,54.0,²®Ìî¶Ë,2:03.4,¥Ï¥Ê,174.7,11.0,448(-10),[Åì] ¾®Ìî¼¡Ïº
11,6,9,¥×¥í¡¼¥¹,²´3,53.0,¿û¸¶ÌÀÎÉ,2:03.7,1.3/4,84.2,8.0,478(+2),[Åì] ¹âÌÚÅÐ
12,4,5,¥Þ¥ß¡¼¥Õ¥£¥ó¥¬¡¼,ÌÆ3,54.0,²£»³ÏÂÀ¸,2:03.7,¥¢¥¿¥Þ,186.4,12.0,434(0),[Åì] ¿åÌîµ®¹­
13,8,13,¥ô¥§¥ë¥È¥é¥¦¥ó,²´3,56.0,¸ÅÀîµÈÍÎ,2:03.7,¥¯¥Ó,100.8,10.0,424(0),[À¾] ºä¸ýÃÒ¹¯
14,3,4,¥¢¥Ó¥È¥ì¥¤¥¿,²´3,56.0,Âã¹°¿Í,2:04.4,4,223.2,13.0,504(-4),[À¾] ¿¹ÅÄÄ¾¹Ô
1,1,1,¥¨¥¤¥ê¥¢¥¹,²´2,54.0,¼Æ»³Íº°ì,1:31.1,,10.7,4.0,466(0),[À¾] Àõ¸«½¨°ì
2,7,8,¥¤¥ó¥×¥ë¥½,²´2,54.0,Âã¹°¿Í,1:31.1,¥¯¥Ó,67.0,8.0,448(0),[Åì] ¾¾»³¾­¼ù
3,3,3,¥¢¥ë¥Õ¥¡¥¦¥§¡¼¥Ö,²´2,54.0,¥ë¥á¡¼¥ë,1:31.1,¥¢¥¿¥Þ,1.5,1.0,516(0),[Åì] Æ£ÂôÏÂÍº
4,4,4,¥Ý¡¼¥«¡¼¥¯¥¤¡¼¥ó,ÌÆ2,54.0,¾¾ÅÄÂçºî,1:31.2,1/2,7.0,3.0,430(0),[À¾] ¿Ü³­¾°²ð
5,2,2,¥¦¥¤¥ó¥»¥ì¥Ê¡¼¥É,ÌÆ2,54.0,¾¾²¬Àµ³¤,1:31.4,3/4,5.2,2.0,456(0),[À¾] ²ÃÍÑÀµ
6,5,5,¥µ¥¤¥â¥ó¥ë¥°¥é¥ó,²´2,54.0,¾¡±ºÀµ¼ù,1:31.8,2.1/2,18.8,5.0,476(0),[Åì] Àª»ÊÏÂ¹À
7,8,9,¥¯¥ì¥Ñ¥È,ÌÆ2,54.0,µÈÅÄÈ»¿Í,1:32.1,2,26.9,6.0,468(0),[À¾] ÌðºîË§¿Í
8,8,10,¥ª¡¼¥±¡¼¥á¥¸¥ã¡¼,²´2,54.0,ÀÐÀîÍµµª,1:32.3,1.1/4,42.7,7.0,458(0),[À¾] ±üÂ¼Ë­
9,7,7,¥¸¥§¥Ã¥Æ¥£¡¼,²´2,54.0,¹ñÊ¬¶³²ð,1:32.6,2,106.1,10.0,430(0),[À¾] Åò·¦¹¬Íº
Ãæ,6,6,¥«¥Æ¥É¥é¥ë¥í¥Ã¥¯,ÌÆ2,54.0,¸ÅÀîµÈÍÎ,,,96.3,9.0,412(0),[Åì] ÀÐÌÓÁ±É§
1,8,8,¥À¥¤¥ä¥ì¥¤¥¸¥ó¥°,ÌÆ3,54.0,´äÅÄ¹¯À¿,1:46.9,,8.6,5.0,444(-4),[À¾] ¾®ºê·û
2,5,5,¥·¥²¥ë¥¯¥í¥À¥¤¥ä,²´3,56.0,¸ÅÀîµÈÍÎ,1:46.9,¥¯¥Ó,2.2,1.0,496(+4),[À¾] Ã«·é
3,2,2,¥Ô¥¨¥Ê¥¬¥¦¥Ç¥£,²´3,56.0,¾ë¸ÍµÁÀ¯,1:47.2,1.1/2,95.0,8.0,432(-4),[À¾] ±üÂ¼Ë­
4,4,4,¥³¥ó¥·¡¼¥É,²´3,56.0,Ã°ÆâÍ´¼¡,1:47.5,1.3/4,3.8,2.0,454(-12),[Åì] Å·´Ö¾¼°ì
5,6,6,¥ë¥ë¥É,²´3,56.0,²®Ìî¶Ë,1:47.8,2,13.7,6.0,416(-11),[À¾] ¿ù»³À²µª
6,3,3,¥ª¥¦¥±¥ó¥¹¥¿¡¼¥Þ¥ó,²´3,53.0,ÃÄÌîÂçÀ®,1:47.8,¥Ï¥Ê,6.9,4.0,478(-2),[À¾] Æ£²¬·ò°ì
7,7,7,¥¨¥á¥é¥ë¥É¥«¥Ã¥È,ÌÆ3,54.0,Åª¾ìÍ¦¿Í,1:48.4,4,47.5,7.0,476(-4),[Åì] Åª¾ì¶Ñ
Ãæ,1,1,¥Ð¥Ù¥ë¥Î¥È¥¦,²´3,56.0,¼Æ»³Íº°ì,,,5.4,3.0,504(+8),[Åì] ÂçÏÂÅÄÀ®
1,7,8,¥Þ¥¤¥Í¥ë¥Ð¥È¥¥¡¼¥¿,²´3,54.0,Ã°ÆâÍ´¼¡,0:58.5,,1.8,1.0,476(-12),[Åì] ¹â¶¶¾ÍÂÙ
2,4,4,¥¨¥ë¥Ô¥É,²´3,54.0,¾¡±ºÀµ¼ù,0:58.6,1/2,28.0,9.0,450(-10),[Åì] À¶¿å±Ñ¹î
3,6,7,¥×¥ê¥ó¥»¥¹¥è¥¦¥¯,ÌÆ5,55.0,Âã¹°¿Í,0:58.8,1.1/2,52.0,11.0,446(-2),[Åì] ÀÐ·ªÎ¶É§
